Calidris subruficollis;Buff-breasted Sandpiper, Correlimos Canelo, maçarico-acanelado;Vulnerável (VU);Acre, Amazonas, Mato Grosso, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Rondônia, Santa Catarina, São Paulo;Amazônia, Mata Atlântica, Pampa
Callicebus barbarabrownae;Barbara Brown’s Titi, Blond Titi Monkey, guigó, guigó-da-caatinga, Northern Bahian Blond Titi, Northern Bahian Blond Titi Monkey, pangola, sauá-loiro;Criticamente em Perigo (CR);Bahia, Sergipe;Caatinga, Mata Atlântica
Callicebus coimbrai;Coimbra-filho’s Titi Monkey, Coimbra-Filho’s Titi Monkey, Coimbra’s Titi, Guigó, Guigó-de-Coimbra-Filho, Guigó de Sergipe;Em Perigo (EN);Bahia, Sergipe;Caatinga, Mata Atlântica
Callicebus melanochir;Coastal Black-handed Titi, Guigó, Sauá, Southern Bahian Masked Titi;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica, Sistema Costeiro-Marinho
Callicebus personatus;Atlantic Titi, Guigó, Guigó-mascarado, Masked Titi, Northern Masked Titi, Sauá, Sauá-de-cara-preta;Vulnerável (VU);Espírito Santo, Minas Gerais;Cerrado, Mata Atlântica
Callistomys pictus;Gezeichnete Baumstachelratte, Painted tree-rat, Painted Tree Rat, Rato-do-cacau, Saruê-beiju, Saruê-beju;Em Perigo (EN);Bahia;Mata Atlântica
Callithrix aurita;Buffy-tufted-ear Marmoset, sagui-caveirinha, Sagui-da-serra-escuro, White-eared Marmoset;Em Perigo (EN);Minas Gerais, Rio de Janeiro, São Paulo;Cerrado, Mata Atlântica
Callithrix flaviceps;Buffy-headed Marmoset, Sagui-da-serra, Sagui-da-serra-claro, Sagui-taquara;Em Perigo (EN);Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Calyptommatus leiolepis;;Em Perigo (EN);Bahia;Caatinga, Cerrado
Calyptommatus nicterus;;Em Perigo (EN);Bahia;Caatinga
Calyptommatus sinebrachiatus;;Em Perigo (EN);Bahia;Caatinga
Calyptura cristata;Cotinguita Reyezuelo, Kinglet Calyptura, tietê-de-coroa;Criticamente em Perigo (CR) (PE);Rio de Janeiro;
Cambeva crassicaudata;Candiru;Em Perigo (EN);Paraná;Mata Atlântica
Cambeva igobi;Candiru;Vulnerável (VU);Paraná;Mata Atlântica
Cambeva mboycy;Candiru;Em Perigo (EN);Paraná;Mata Atlântica
Cambeva paolence;Cambeva-do-tietê;Em Perigo (EN);São Paulo;Mata Atlântica
Cambeva papillifera;Candiru;Em Perigo (EN);Paraná;Mata Atlântica
Cambeva pascuali;;Criticamente em Perigo (CR);São Paulo;Cerrado
Cambeva tropeiro;Cambeva;Criticamente em Perigo (CR);Rio Grande do Sul;Mata Atlântica
Camelobaetidius juparana;Efemérida;Vulnerável (VU);Espírito Santo, Minas Gerais;Mata Atlântica
Camelobaetidius maranhensis;Efemérida;Vulnerável (VU);Maranhão;Cerrado
Camelobaetidius spinosus;efemérida;Vulnerável (VU);Minas Gerais;Mata Atlântica
Campellolebias brucei;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica
Campellolebias chrysolineatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica
Campellolebias dorsimaculatus;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Campellolebias intermedius;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Campylopterus calcirupicola;asa-de-sabre-da-mata-seca, Colibrí de Bosque Seco, Outcrop Sabrewing;Em Perigo (EN);Bahia, Goiás, Minas Gerais, Tocantins;Cerrado
Campylorhamphus cardosoi;arapaçu-do-tapajós, Tapajós Scythebill;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Campylorhamphus multostriatus;arapaçu-de-bico-curvo-do-xingu, Snethlage`s Scythebill;Vulnerável (VU);Pará;Amazônia
Campylorhamphus trochilirostris trochilirostris;arapaçu-beija-ﬂor, Southern Red-billed Scythebill;Vulnerável (VU);Bahia;Mata Atlântica
Canthon corpulentus;Besouro, besouro-rola-bosta;Vulnerável (VU);Distrito Federal, Mato Grosso, Minas Gerais, São Paulo;Cerrado, Mata Atlântica, Pantanal
Canthon quadripunctatus;Besouro, besouro-rola-bosta;Vulnerável (VU);Minas Gerais, Paraná, São Paulo;Mata Atlântica
Capito dayi;Black-girdled Barbet, Cabezón Brasileño, capitão-de-cinta;Vulnerável (VU);Amazonas, Mato Grosso, Pará, Rondônia;Amazônia, Cerrado
Carajas paraua;Aranha;Em Perigo (EN);Pará;Amazônia
Carcharhinus acronotus;cação-lombo-preto, focinho-preto, tubarão-flamengo;Vulnerável (VU);Amapá, Bahia, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, São Paulo, Sergipe;Sistema Costeiro-Marinho
Carcharhinus brevipinna;galha-preta, sicuri-da-galha-preta, tubarão galha-preta;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Carcharhinus falciformis;cação-baia, cação-em-cima-d’água, cação-sedoso, focinhudo, negrinho, tubarão-lombo-preto;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Carcharhinus galapagensis;tubarão/cação-baia, tubarão/cação-cabeça-de-cesto, tubarão-das-galápagos;Criticamente em Perigo (CR);Ceará, Pernambuco, Rio Grande do Norte;Sistema Costeiro-Marinho
Carcharhinus leucas;cabeça-chata, cabeça-de-cesto, cação-baiacu, cação-de-rio, pirarara, tubarão-touro;Vulnerável (VU);Alagoas, Amapá, Amazonas, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Amazônia, Sistema Costeiro-Marinho
Carcharhinus longimanus;tubarão-estrangeiro, tubarão galha-branca, tubarão-galha-branca-oceânico;Vulnerável (VU);Bahia, Ceará, Pernambuco, Rio Grande do Norte, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Carcharhinus obscurus;cabeça-chata-do-sul, cação-baía, cação-fidalgo, machote;Em Perigo (EN);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, Sergipe;Mata Atlântica, Sistema Costeiro-Marinho
Carcharhinus perezi;cação-coralino, tubarão-caribenho-dos-recifes, tubarão-dos-recifes;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe;Sistema Costeiro-Marinho
Carcharhinus plumbeus;tubarão-galhudo, tubarão-sucuri;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Carcharhinus porosus;cação-azeiteiro, cação-rabo-fino, tubarão-junteiro;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Carcharhinus signatus;cação-noturno, machote, tubarão-azeiteiro, tubarão-toninha;Em Perigo (EN);Bahia, Ceará, Espírito Santo, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Carcharias taurus;cação-da-areia, cação-mangona, caçoa, tubarão-mangona;Criticamente em Perigo (CR);Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Carcharodon carcharias;tubarão-branco;Vulnerável (VU);Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Cardisoma guanhumi;caranguejo-azul, caranguejo-do-mato, gaiamu, goiamú, guaiamú, guaiamum;Vulnerável (VU);Alagoas, Bahia, Ceará, Espírito Santo, Paraíba, Paraná, Pernambuco, Rio de Janeiro, Rio Grande do Norte, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Caretta caretta;Avó de Aruanã, Careba-amarela, Careba-dura, Tartaruga amarela, Tartaruga-avó, Tartaruga-cabeçuda, Tartaruga mestiça;Vulnerável (VU);;Sistema Costeiro-Marinho
Cartagonum apiuba;besouro;Criticamente em Perigo (CR);São Paulo;Cerrado, Mata Atlântica
Cassidulus mitis;ouriço-do-mar, ouriço irregular;Em Perigo (EN);Rio de Janeiro, São Paulo;Sistema Costeiro-Marinho
Castoraeschna januaria;Libélula;Vulnerável (VU);Goiás, Minas Gerais, Rio Grande do Sul, São Paulo;Cerrado, Mata Atlântica
Catagramma hydarnis;Borboleta;Em Perigo (EN);Minas Gerais, Paraná, Rio de Janeiro, São Paulo;Mata Atlântica
Cavia intermedia;Intermediate Guinea Pig, Moleques do Sul Guinea Pig, Preá, Preá-de-Moleques-do-Sul, Santa-Catarina-Meerschweinchen, Santa Catarina’s Guinea Pig;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica
Cebus kaapori;caiarara, caiarara ka’apor, Ka’apor Capuchin, macaco-cara-branca, piticó;Criticamente em Perigo (CR);Maranhão, Pará;Amazônia
Celaetycheus mungunza;Aranha;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Celeus flavus subflavus;pica-pau-amarelo;Criticamente em Perigo (CR);Alagoas, Bahia, Espírito Santo;Mata Atlântica
Celeus galeatus;Helmeted Woodpecker, Picamaderos Caricanelo, pica-pau-de-cara-canela;Em Perigo (EN);Mato Grosso do Sul, Paraná, Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica
Celeus obrieni;Carpintero de Kaempfer, Kaempfer`s Woodpecker, pica-pau-do-parnaíba;Vulnerável (VU);Goiás, Maranhão, Mato Grosso, Pará, Piauí, Tocantins;Amazônia, Cerrado
Celeus torquatus pieteroyensi;pica-pau-de-coleira;Vulnerável (VU);Maranhão, Pará;Amazônia
Celeus torquatus tinnunculus;pica-pau-de-coleira;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica
Ceracis cassumbensis;Besouro;Em Perigo (EN);Bahia;Mata Atlântica
Ceratinia vitrea;Asas de vidro, Borboleta;Em Perigo (EN);Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Ceratophrys ornata;Argentina horned frog, Bell’s Ceratophrys, Escuerzo grande común, Ornate horned frog, Sapo-de-chifre, Sapo intanha, Sapo-untanha;Criticamente em Perigo (CR) (PE);Rio Grande do Sul;
Cerdale fasciata;peixe-lombriga-listrado;Em Perigo (EN);Bahia;Sistema Costeiro-Marinho
Cerradomys goytaca;Goytacá Cerradomys, Rato-do-arroz, Rato-do-chão, Rato-goytacá, Restinga Rice Rat, Rice-rat;Em Perigo (EN);Espírito Santo, Rio de Janeiro;Mata Atlântica
Cetorhinus maximus;tubarão-elefante, tubarão-peregrino;Criticamente em Perigo (CR);Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, São Paulo;Sistema Costeiro-Marinho
Chaetomys subspinosus;Borsten-Baumstachler, Bristle-spined Porcupine, Bristle-spined Rat, Gandú, Ouriço-preto, Thin-spined Porcupine;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Sergipe;Mata Atlântica, Sistema Costeiro-Marinho
Chamaeza nobilis fulvipectus;Eastern Striated Antthrush, tovaca-estriada;Vulnerável (VU);Mato Grosso, Pará, Rondônia;Amazônia
Characidium grajahuensis;Canivete;Criticamente em Perigo (CR);Rio de Janeiro;Mata Atlântica
Characidium vestigipinne;;Criticamente em Perigo (CR);Rio Grande do Sul;Mata Atlântica
Charadrius wilsonia;batuíra-bicuda, Chorlitejo Piquigrueso, Wilson`s Plover;Vulnerável (VU);Alagoas, Amapá, Bahia, Ceará, Maranhão, Pará, Pernambuco, Piauí, Rio Grande do Norte, Santa Catarina, Sergipe;Amazônia, Caatinga, Cerrado, Mata Atlântica, Sistema Costeiro-Marinho
Charinus acaraje;Amblipígio, Amblypygid, Aranha-chicote, whip spider;Vulnerável (VU);Bahia;Mata Atlântica
Charinus asturius;Amblipígio, Aranha-chicote, whip spider;Em Perigo (EN);São Paulo;Mata Atlântica
Charinus caatingae;Amblipígeo, Aranha-chicote, Whip-spider;Criticamente em Perigo (CR);Bahia;Caatinga
Charinus eleonorae;Aranha chicote, Whip Spider;Em Perigo (EN);Minas Gerais;Cerrado
Charinus ferreus;Amblipígeo, Aranha-chicote, Whip-spider;Criticamente em Perigo (CR);Pará;Amazônia
Charinus potiguar;Amblipígio, Aranha-chicote, whip spider;Vulnerável (VU);Rio Grande do Norte;Caatinga
Charinus spelaeus;Amblipígeo, Aranha-chicote, Whip-spider;Vulnerável (VU);Minas Gerais;Cerrado
Charinus taboa;Amblipigio, Aranha-chicote, Whip-spider;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Charinus troglobius;Amblipígio, Aranha chicote;Em Perigo (EN);Bahia;Cerrado
Charonias theano;Borboleta;Em Perigo (EN);Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Cerrado, Mata Atlântica
Chasmocranus brachynemus;Babão, Bagrinho-de-emas;Em Perigo (EN);São Paulo;Cerrado, Mata Atlântica
Chiasmocleis alagoana;Humming frog, Rãzinha-da-mata;Vulnerável (VU);Alagoas, Paraíba, Pernambuco;Mata Atlântica
Chiropotes satanas;Bearded Saki, Black Bearded Saki, Black Saki, Brown-bearded Saki, cuxiú, Cuxiú, Cuxiú-preto, cuxuí, macaco-preto;Criticamente em Perigo (CR);Maranhão, Pará;Amazônia, Cerrado
Chiropotes utahickae;Cuxiú, Uta Hick’s Bearded Saki;Vulnerável (VU);Mato Grosso, Pará;Amazônia, Cerrado
Choranthias salmopunctatus;canário-do-mar;Vulnerável (VU);Pernambuco;Sistema Costeiro-Marinho
Chrysocyon brachyurus;Aguará guazú, Borochi, Guará, Lobão, Lobo, Lobo de crin, Lobo-de-crina, Lobo-de-juba, Lobo-guará, Lobo-vermelho, Maned wolf;Vulnerável (VU);Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal
Cichlocolaptes mazarbarnetti;Cryptic Treehunter, gritador-do-nordeste, Ticotico críptico, trepador-do-nordeste;Extinta (EX);Alagoas, Pernambuco;
Cichlopsis leucogenys;Rufous-brown Solitaire, sabiá-castanho, Solitario Ocre;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais;Mata Atlântica
Cinclodes espinhacensis;Cipo Cinclodes, pedreiro-do-espinhaço, Remolinera del Cipó;Em Perigo (EN);Minas Gerais;Cerrado
Circoniscus buckupi;tatuzinho;Criticamente em Perigo (CR);Pará;Amazônia
Circoniscus carajasensis;Tatuzinho;Em Perigo (EN);Pará;Amazônia
Circus cinereus;Aguilucho Vari, Cinereous Harrier, gavião-cinza;Vulnerável (VU);Paraná, Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica, Pampa
Clytoctantes atrogularis;Batará de Rondonia, choca-de-garganta-preta, Rondonia Bushbird;Vulnerável (VU);Amazonas, Mato Grosso, Rondônia;Amazônia
Cnesterodon carnegiei;Barrigudinho;Vulnerável (VU);Paraná;Mata Atlântica
Cnesterodon iguape;Guarú-de-apiaí;Criticamente em Perigo (CR);Paraná, São Paulo;Mata Atlântica
Cnesterodon omorgmatos;Barrigudinho;Criticamente em Perigo (CR);Paraná;Mata Atlântica
Cnipodectes superrufus;flautim-rufo, Mosquero rufo, Rufous Twistwing;Vulnerável (VU);Acre;Amazônia
Coarazuphium amazonicus;Besouro;Criticamente em Perigo (CR);Pará;Amazônia
Coarazuphium caatinga;besouro;Em Perigo (EN);Bahia;Caatinga
Coarazuphium cessaima;besouro;Em Perigo (EN);Bahia;Caatinga
Coarazuphium formoso;Besouro;Criticamente em Perigo (CR);Bahia;Caatinga
Coarazuphium pains;Besouro;Em Perigo (EN);Minas Gerais;Cerrado
Coarazuphium ricardoi;Besouro;Criticamente em Perigo (CR);Paraná;Mata Atlântica
Coarazuphium spinifemur;Besouro;Criticamente em Perigo (CR);Pará;Amazônia
Coarazuphium tapiaguassu;Besouro;Em Perigo (EN);Pará;Amazônia
Coarazuphium tessai;Besouro;Criticamente em Perigo (CR);Bahia;Cerrado
Coendou speratus;Coandu-mirim, Dwarf Porcupine, Ouriço-cacheiro, Pernambuco Dwarf Porcupine;Em Perigo (EN);Alagoas, Pernambuco;Mata Atlântica
Coleodactylus natalensis;Lagarto-de-folhiço, Pygmy gecko;Em Perigo (EN);Rio Grande do Norte;Mata Atlântica
Colibri delphinae greenewalti;beija-flor-marrom, Brown Violet-ear, Colibrí Pardo;Em Perigo (EN);Bahia;Caatinga
Colobodactylus dalcyanus;Lagartinho-do-folhedo;Em Perigo (EN);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Columbina cyanopis;Blue-eyed Ground Dove, Columbina Ojiazul, rolinha-do-planalto;Criticamente em Perigo (CR);Goiás, Mato Grosso, Minas Gerais, São Paulo;Cerrado
Condylactis gigantea;Anêmona-gigante;Em Perigo (EN);Bahia, Espírito Santo, Pernambuco;Sistema Costeiro-Marinho
Conopophaga cearae;Ceara Gnateater, chupa-dente-do-nordeste, Jejenero de Ceará;Em Perigo (EN);Alagoas, Bahia, Ceará, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Conopophaga lineata lineata;chupa-dente;Vulnerável (VU);Bahia;Caatinga, Cerrado, Mata Atlântica
Conorhynchos conirostris;Corneta, Pirá, Pirá-tamanduá;Em Perigo (EN);Minas Gerais;Cerrado
Conothraupis mesoleuca;Cone-billed Tanager, Tangara Picuda, tiê-bicudo;Em Perigo (EN);Goiás, Mato Grosso, Mato Grosso do Sul, Pará;Amazônia, Cerrado
Contomastix vacariensis;Lagartinho-de-vacaria, Lagartinho-pintado, Lagartinho-pintado-do-campo, Lagartixa-pintada;Vulnerável (VU);Paraná, Rio Grande do Sul, Santa Catarina;Cerrado, Mata Atlântica
Contopus nigrescens;Blackish Pewee, Pibí Negruzco, piui-preto;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Copelatus cessaima;Besouro d´água, Besouro mergulhador;Em Perigo (EN);Pará;Amazônia
Corallus cropanii;Cobra-de-gaita, Jiboia-amarela, Jiboia-de-Cropan, Jiboia-do-Ribeira;Vulnerável (VU);São Paulo;Mata Atlântica
Corvomeyenia epilithosa;Esponja;Vulnerável (VU);Rio Grande do Sul;Mata Atlântica
Corydoras lacerdai;;Em Perigo (EN);Bahia;Mata Atlântica
Coryphaspiza melanotis;Black-eared Finch, Cachilo Enmascarado, tico-tico-de-máscara-negra;Vulnerável (VU);Amazonas, Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio Grande do Norte, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal
Coryphistera alaudina;corredor-crestudo, Espinero Crestudo, Lark-like Brushrunner;Criticamente em Perigo (CR);Rio Grande do Sul;Pampa
Coscinasterias tenuispina;estrela-do-mar;Vulnerável (VU);Bahia, Rio de Janeiro, Santa Catarina;Sistema Costeiro-Marinho
Cotinga maculata;Banded Cotinga, Cotinga Maculado, crejoá;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais, Pernambuco, Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Crax blumenbachii;mutum-de-bico-vermelho, mutum-do-sudeste, Pavón piquirrojo, Red-billed Curassow;Em Perigo (EN);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica
Crax fasciolata pinima;Belem Curassow, mutum-pinima, Pavón de Belém;Criticamente em Perigo (CR);Maranhão, Pará;Amazônia
Crax globulosa;mutum-açu, mutum-de-assovio, mutum-de-fava, mutum-fava, mutum-piurí, Wattled Curassow;Em Perigo (EN);Amazonas;Amazônia
Crenicichla cyclostoma;;Criticamente em Perigo (CR);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Crenicichla empheres;Joana;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica
Crenicichla hadrostigma;Joana;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica
Crenicichla jegui;Jacundá, joana-gensa, peixe sabão;Em Perigo (EN);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Crenicichla jupiaensis;Joaninha;Em Perigo (EN);Mato Grosso do Sul, Paraná, São Paulo;Mata Atlântica
Crossodactylodes itambe;Itambe’s Bromeliad Frog, Sapinho-do-Itambé;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Crossodactylodes izecksohni;Izecksohn's Bromeliad Frogs, Rãzinha-de-bromélia;Em Perigo (EN);Espírito Santo;Mata Atlântica
Crossodactylus boulengeri;;Criticamente em Perigo (CR) (PE);Rio de Janeiro, São Paulo;Mata Atlântica
Crossodactylus dantei;Murici Spinythumb Frog, Rãzinha-de-riacho;Criticamente em Perigo (CR);Alagoas;Mata Atlântica
Crossodactylus dispar;Rã-de-riacho-de-floresta, Rãzinha-de-riacho, Rãzinha-de-riacho-distinta, Rio Spinythumb Frog;Criticamente em Perigo (CR) (PE);Rio de Janeiro, São Paulo;Mata Atlântica
Crossodactylus franciscanus;;Criticamente em Perigo (CR) (PE);Minas Gerais;Cerrado
Cryptops iporangensis;Centopeia, Lacraia;Em Perigo (EN);São Paulo;Mata Atlântica
Cryptops spelaeoraptor;Centopeia., Lacraia;Criticamente em Perigo (CR);Bahia;Caatinga
Crypturellus zabele;Yellow-Legged-Tinamou, zabelé;Vulnerável (VU);Alagoas, Bahia, Ceará, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe;Caatinga, Cerrado, Mata Atlântica
Ctenomys bicolor;Bicolored Tuco-tuco, Rato-paca, Tuco-tuco;Em Perigo (EN);Mato Grosso, Rondônia;Amazônia, Cerrado
Ctenomys flamarioni;Tuco-tuco, Tuco-tuco of the Dunes;Em Perigo (EN);Rio Grande do Sul;Pampa
Ctenomys lami;Lami Tuco-tuco, Tuco-tuco, Tuco-tuco-do-lami;Em Perigo (EN);Rio Grande do Sul;Pampa
Ctenomys minutus;Tiny Tuco-tuco, Tuco-tuco, Tuco-tuco pequeno;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Cubacubana spelaea;Traça;Vulnerável (VU);Bahia;Caatinga
Cyanocorax hafferi;Campina Jay, cancão-da-campina, Chara de la Campina;Vulnerável (VU);Amazonas, Rondônia;Amazônia
Cyanopsitta spixii;ararinha-azul, Guacamayo de Spix, Spix`s Macaw;Criticamente em Perigo (CR);Bahia, Pernambuco;
Cycloramphus diringshofeni;Rã-de-cachoeira, São Bento Button Frog;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica
Cycloramphus faustoi;Rãzinha-de-corredeira;Vulnerável (VU);São Paulo;Mata Atlântica
Cycloramphus stejnegeri;Stejneger's Button Frog;Criticamente em Perigo (CR) (PE);Rio de Janeiro;Mata Atlântica
Cynolebias akroa;Peixe anual, Peixe das nuvens;Vulnerável (VU);Bahia;Cerrado
Cynolebias elegans;Peixe anual, Peixe das nuvens;Criticamente em Perigo (CR);Bahia;Caatinga
Cynolebias gorutuba;Peixe anual, Peixe das nuvens;Em Perigo (EN);Minas Gerais;Cerrado
Cynolebias griseus;killifish, Peixe anual, Peixe-das-nuvens;Em Perigo (EN);Goiás;Cerrado
Cynolebias leptocephalus;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia;Caatinga
Cynolebias parnaibensis;Peixe anual, Peixe das nuvens, Peixe de chuva;Criticamente em Perigo (CR);Piauí;Caatinga
Cynopoecilus feltrini;Peixe anual;Vulnerável (VU);Santa Catarina;Mata Atlântica
Cynopoecilus intimus;Peixe anual;Vulnerável (VU);Rio Grande do Sul;Pampa
Cyphorhinus griseolateralis;Gray-flanked Wren, uirapuru-dos-flancos-cinza;Vulnerável (VU);Mato Grosso, Pará;Amazônia
Dactyloa nasofrontalis;Calanguinho, Papa-vento;Vulnerável (VU);Espírito Santo;Mata Atlântica
Dactyloa pseudotigrina;Calanguinho, Papa-vento;Vulnerável (VU);Espírito Santo;Mata Atlântica
Dasyophthalma delanira;Borboleta;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Dasyophthalma geraensis;Borboleta;Criticamente em Perigo (CR);Minas Gerais, São Paulo;Mata Atlântica
Dasyophthalma vertebralis;Borboleta;Criticamente em Perigo (CR) (PE);Espírito Santo, Minas Gerais;Mata Atlântica
Delturus parahybae;Cascudo, Cascudo-lage;Criticamente em Perigo (CR);Minas Gerais, Rio de Janeiro;Mata Atlântica
Dendrexetastes paraensis paraensis;arapaçu-canela-de-belém;Vulnerável (VU);Maranhão, Pará;Amazônia
Dendrocincla merula badia;arapaçu-da-taoca;Vulnerável (VU);Maranhão, Pará;Amazônia
Dendrocincla taunayi;arapaçu-pardo-do-nordeste, Pernambuco Woodcreeper;Em Perigo (EN);Alagoas, Pernambuco;Mata Atlântica
Dendrocolaptes medius;arapaçu-barrado-do-leste, Todd`s Woodcreeper;Vulnerável (VU);Alagoas, Maranhão, Pará, Pernambuco;Amazônia, Mata Atlântica, Sistema Costeiro-Marinho
Dendrocolaptes retentus;arapaçu-barrado-do-xingu, Xingu Woodcreeper;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Dendrocolaptes transfasciatus;arapaçu-meio-barrado;Vulnerável (VU);Pará;Amazônia
Dermochelys coriacea;Careba-gigante, Careba-mole, Tartaruga-de-cerro, Tartaruga-de-couro, Tartaruga-de-leste, Tartaruga-de-quilha, Tartaruga-gigante, Tartaruga-preta, Tartaruga-sete-quilhas;Criticamente em Perigo (CR);Bahia, Espírito Santo, Pará, Piauí, Rio Grande do Norte;Sistema Costeiro-Marinho
Diaphoromyrma sofiae;formiga, Formiga;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica
Diapoma pyrrhopteryx;Lambari;Em Perigo (EN);Rio Grande do Sul, Santa Catarina;Mata Atlântica, Pampa
Dichotomius eucranioides;Besouro, besouro-rola-bosta;Em Perigo (EN);Mato Grosso do Sul;Cerrado, Mata Atlântica
Dichotomius mysticus;Besouro, besouro-rola-bosta;Em Perigo (EN);Rio Grande do Norte;Mata Atlântica
Dichotomius schiffleri;Besouro, besouro-rola-bosta;Em Perigo (EN);Bahia, Espírito Santo, Pernambuco, Sergipe;Mata Atlântica, Sistema Costeiro-Marinho
